                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.86041,                0.50151,                0.99481,                0.93451,                    0.9,                0.91962,                 0.6199,                 1.2347,                0.72173,                 1.2903,              0.0011291,              0.0011291,              0.0011291
                    108,                0.83703,                 0.4887,                 0.9883,                0.95481,                0.88619,                0.92344,                 0.5979,                 1.3176,                0.71781,                 1.3605,              0.0011263,              0.0011263,              0.0011263
                    109,                0.83843,                0.50309,                 1.0056,                0.94096,                0.88148,                 0.9263,                0.61142,                 1.3147,                0.74763,                 1.3626,              0.0011234,              0.0011234,              0.0011234
                    110,                0.83418,                0.49829,                 1.0062,                0.95012,                0.88148,                 0.9151,                0.62895,                 1.2895,                0.76079,                 1.3526,              0.0011206,              0.0011206,              0.0011206
                    111,                0.78322,                0.47355,                  1.024,                0.94785,                0.87222,                0.89868,                0.62412,                 1.2583,                0.76383,                 1.3345,              0.0011178,              0.0011178,              0.0011178
                    112,                0.87751,                0.49285,                  1.032,                0.96033,                 0.8706,                0.91092,                0.60288,                 1.2973,                0.82118,                 1.3469,              0.0011149,              0.0011149,              0.0011149
                    113,                0.82429,                0.48658,                 1.0059,                0.92616,                0.86946,                0.92259,                0.60475,                 1.2758,                0.84523,                 1.3289,              0.0011121,              0.0011121,              0.0011121
                    114,                0.80302,                0.48422,                0.98572,                0.92104,                0.85842,                0.92904,                0.61428,                 1.2791,                0.85985,                 1.3364,              0.0011093,              0.0011093,              0.0011093
                    115,                0.84511,                  0.489,                 1.0623,                0.92155,                0.85252,                0.93384,                0.61266,                 1.2448,                0.80837,                 1.3122,              0.0011064,              0.0011064,              0.0011064
                    116,                0.81488,                0.47129,                  1.006,                0.95096,                0.87724,                0.93709,                0.64214,                 1.1714,                0.72389,                 1.2781,              0.0011036,              0.0011036,              0.0011036
                    117,                0.81894,                0.48871,                 1.0167,                0.93031,                0.89598,                0.93828,                0.62411,                 1.1792,                0.72059,                  1.269,              0.0011008,              0.0011008,              0.0011008
                    118,                0.85384,                0.48569,                  1.013,                0.93049,                0.90272,                0.92794,                0.61798,                 1.1829,                0.75592,                 1.2547,               0.001098,               0.001098,               0.001098
                    119,                0.79271,                0.45953,                0.96411,                0.91963,                0.89283,                0.93328,                0.62423,                 1.1817,                0.77097,                   1.25,              0.0010951,              0.0010951,              0.0010951
                    120,                0.84008,                0.49836,                 1.0151,                0.92097,                0.88829,                0.93633,                0.61407,                 1.2544,                0.79163,                 1.2647,              0.0010923,              0.0010923,              0.0010923
                    121,                0.84956,                0.48624,                 1.0469,                0.95661,                0.89776,                  0.947,                0.62561,                 1.2475,                0.74963,                 1.2462,              0.0010895,              0.0010895,              0.0010895
                    122,                 0.8085,                0.47509,                 1.0241,                  0.945,                    0.9,                0.94251,                   0.62,                 1.2575,                0.76062,                 1.2576,              0.0010866,              0.0010866,              0.0010866
                    123,                0.81595,                0.47471,                0.99817,                0.90887,                0.90146,                0.93707,                0.62592,                  1.239,                0.76135,                 1.2712,              0.0010838,              0.0010838,              0.0010838
                    124,                0.77794,                0.47148,                0.97768,                0.92707,                0.90926,                0.95361,                0.65191,                 1.1935,                0.76699,                 1.2307,               0.001081,               0.001081,               0.001081
                    125,                0.78594,                0.46396,                0.98609,                0.93185,                0.89744,                0.94882,                0.65444,                 1.1783,                0.80328,                 1.2048,              0.0010782,              0.0010782,              0.0010782
                    126,                0.77506,                0.45383,                 1.0083,                0.93475,                0.91852,                0.95853,                0.65161,                 1.1621,                0.75772,                 1.1811,              0.0010753,              0.0010753,              0.0010753
                    127,                0.81157,                0.46572,                0.99604,                0.93047,                0.90626,                0.95062,                0.65372,                 1.1761,                 0.7639,                 1.1842,              0.0010725,              0.0010725,              0.0010725
                    128,                0.80373,                 0.4658,                0.98606,                0.96203,                0.89837,                0.95246,                0.65891,                 1.1966,                0.75973,                 1.2188,              0.0010697,              0.0010697,              0.0010697
                    129,                0.79366,                 0.4638,                0.99318,                0.94082,                    0.9,                0.95183,                0.64937,                 1.1828,                0.72231,                 1.2231,              0.0010668,              0.0010668,              0.0010668
